"PolicyDefinitionName","DisplayName","Mode","PolicyType","Description","Metadata"
,"Ensure secure access to storage account containers","Indexed","Custom","Public access allows information to be downloaded by anyone on the internet without authentication and that can lead to a compromise of corporate data. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042​​​​​​​","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-03-21T18:26:36.8714141Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-17T20:00:24.7809382Z}"
,"Configure Azure Activity logs to stream to specified Event Hub","All","Custom","This is a prereq policy that the Cloud Governance (cloudgov) team uses to collect subscription level activity log telemetry","@{createdBy=6c97c2ad-503e-493a-8f41-7b4241e12cfe; createdOn=2023-05-17T23:37:05.4975142Z}"
,"Remote debugging should be turned off for Web Applications.","All","Custom","Remote debugging requires inbound ports to be opened on App Service. These ports become easy targets for compromise from various internet-based attacks.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-08-18T22:06:01.2458755Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:20:15.0884244Z}"
,"Remote debugging should be turned off for Web Applications' slots.","All","Custom","Remote debugging requires inbound ports to be opened on App Service Slots. These ports become easy targets for compromise from various internet-based attacks.","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2022-08-18T22:06:05.7304331Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:20:38.9915704Z}"
,"Non-SSL port must not be enabled for Redis Cache","Indexed","Custom",,"@{createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2022-09-02T21:06:59.0357041Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:36:38.4009841Z}"
,"Do not use risky ports on firewall and NSGs. Policy01","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [most used ports-53,88,135,3268,587,593,5432,27017]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:25:25.9164494Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:30:06.7426304Z}"
,"Do not use risky ports on firewall and NSGs. Policy02","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [MySql-3306]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:25:36.9084919Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:32:14.2494457Z}"
,"Do not use risky ports on firewall and NSGs. Policy03","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [FTP/SSH-21,22]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:33:33.2304783Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:30:26.1401221Z}"
,"Do not use risky ports on firewall and NSGs. Policy04","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [SMT-25]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:33:44.4920808Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:30:43.3587839Z}"
,"Do not use risky ports on firewall and NSGs. Policy05","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Telnet-23]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:33:55.1733433Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:30:56.9415642Z}"
,"Do not use risky ports on firewall and NSGs. Policy06","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [SMB-139,445]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:34:05.0568018Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:31:14.5959972Z}"
,"Do not use risky ports on firewall and NSGs. Policy07","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Simple Network Management Protocol (SNMP)-161,162,10161,10162]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:34:14.2168825Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:31:27.454966Z}"
,"Do not use risky ports on firewall and NSGs. Policy08","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Lightweight Directory Access Protocol (LDAP and CLDAP)-389,636]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:34:26.9225491Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:31:43.0725469Z}"
,"Do not use risky ports on firewall and NSGs. Policy09","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [MicrosoftSQL Server-1433,1434]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:34:36.8034267Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:31:56.7045174Z}"
,"Do not use risky ports on firewall and NSGs. Policy10","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Simple Service Discovery Protocol (SSDP)-1900,5000]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:34:49.6286511Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:32:31.9978946Z}"
,"Do not use risky ports on firewall and NSGs. Policy11","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Deep Throat, Invasor -2140,3150,]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:34:58.8119662Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:32:59.5235074Z}"
,"Do not use risky ports on firewall and NSGs. Policy12","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Compaq Management Service-2301,2381]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:06.3132057Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:33:21.3547047Z}"
,"Do not use risky ports on firewall and NSGs. Policy13","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Remote Desktop Protocol(RDP)-3389,3390]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:13.5151178Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:33:40.0328652Z}"
,"Do not use risky ports on firewall and NSGs. Policy14","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Virtual Network Computing (VNC)-5800,5801,5802,5803,5804,5805,5806,5807,5808,5809,5810,5900,5901,5902,5903,5904,5905,5906,5907,5908,5909,5910]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:21.0672829Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:34:00.4023308Z}"
,"Do not use risky ports on firewall and NSGs. Policy15","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Powershell-5985,5986]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:27.5189757Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:34:22.5185121Z}"
,"Do not use risky ports on firewall and NSGs. Policy16","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Remote Dictionary Server - Redis -6379,16379,26379]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:33.5078563Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:34:38.5492882Z}"
,"Do not use risky ports on firewall and NSGs. Policy17","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Apache Cassandra-7000,7001,7199,9042,9160]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:41.7793466Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:34:57.3370207Z}"
,"Do not use risky ports on firewall and NSGs. Policy18","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Elasticsearch-9200,9300]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:50.0648124Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:35:10.6122126Z}"
,"Do not use risky ports on firewall and NSGs. Policy19","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [Transmission Control Protocol-19000,19080,3702]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:35:58.4684848Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:35:34.2848307Z}"
,"Do not use risky ports on firewall and NSGs. Policy20","All","Custom","Ports that are known to use risky services or have deficiency in the underlying protocol, must not be used. [OTher listed 175 ports]","@{createdBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; createdOn=2022-11-07T23:36:04.7557698Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:35:58.0622713Z}"
,"App Services should use secure FTP deployments","Indexed","Custom",,"@{createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2022-12-07T00:29:28.4782418Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:22:28.3904818Z}"
,"App Services slots should use secure FTP deployments","Indexed","Custom",,"@{createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2023-01-12T00:43:51.1741118Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:22:52.7269981Z}"
,"Use approved version of TLS for SQL Server","Indexed","Custom","TLS 1.2 is the latest and most secure protocol.The default for the minimal TLS version is to allow all versions. After you enforce a version of TLS, it's not possible to revert to the default. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-04-25T16:53:15.2298524Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:37:32.7441692Z}"
,"Ensure all devices have anti-malware protection installed and enabled","Indexed","Custom","By ensuring that all your devices have anti-malware protection installed and enabled, you are decreasing the risk of malware attack on your device and the Microsoft environment.​​​​​​​ For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-04-26T17:18:01.9228514Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-21T19:26:22.6359661Z}"
,"Ensure all devices have anti-virus configured (AVRemediate)","Indexed","Custom","Public access allows information to be downloaded by anyone on the internet without authentication and that can lead to a compromise of corporate data.​​​​​​​ For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Guest Configuration; version=1.0.0; requiredProviders=System.Object[]; guestConfiguration=; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-04-26T17:18:07.5605712Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-21T19:26:02.9998562Z}"
,"Enable MDE for Linux in Microsoft Defender for Cloud","All","Custom","Microsoft Defender for Endpoint is an enterprise endpoint security platform designed to help enterprise networks prevent, detect, investigate, and respond to advanced threats.​​​​​​​ For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-04-26T17:18:11.8659717Z; updatedBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; updatedOn=2023-06-01T17:24:38.1206525Z}"
,"Enable MDE Integration Setting in Microsoft Defender for Cloud","All","Custom","Microsoft Defender for Endpoint is an enterprise endpoint security platform designed to help enterprise networks prevent, detect, investigate, and respond to advanced threats.​​​​​​​ For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-04-26T17:18:16.571671Z; updatedBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; updatedOn=2023-06-01T17:28:39.9864979Z}"
,"Enable MDE Unified Solution in Microsoft Defender for Cloud","All","Custom","Microsoft Defender for Endpoint is an enterprise endpoint security platform designed to help enterprise networks prevent, detect, investigate, and respond to advanced threats.​​​​​​​ For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-04-26T17:18:20.8656788Z; updatedBy=0cf7b301-43f3-4b77-8fa3-533ef1ad19fa; updatedOn=2023-06-01T17:32:20.2744498Z}"
,"Use approved version of TLS for Azure SQL Managed Instance","Indexed","Custom","TLS 1.2 is the latest and most secure protocol.The default for the minimal TLS version is to allow all versions. After you enforce a version of TLS, it's not possible to revert to the default. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-05-02T21:56:00.3312389Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:38:21.1581866Z}"
,"Automation account variables must be encrypted","All","Custom","Variables may store sensitive information like passwords, which would leave them exposed if stored in plain text that are viewable with limited permissions like “Reader” role. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=1.1.0; category=Automation; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-05-03T16:27:18.9108091Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:07:41.6863601Z}"
,"Use approved version of TLS for Azure Storage","All","Custom","TLS 1.2 is the latest approved protocol. By default, all versions of TLS are allowed, but once you enforce a specific version, you won't be able to return to default settings. For more information, identify the Control Name in 'Protections and Remediations' table from https://aka.ms/cloudgov-policies-and-remediations. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2023-05-11T20:27:00.6697904Z; updatedBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; updatedOn=2024-05-03T20:48:28.11857Z}"
,"Use approved version of TLS for Event Hub Namespace","All","Custom","Configure a minimum TLS version for secure communication between the client application and the Event Hub Namespace. To minimize security risk, the recommended minimum TLS version is TLS 1.2. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to the following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Event Hub; version=1.0.0; createdBy=b3d441fb-e998-494d-a72b-9c24eabd0cde; createdOn=2023-05-16T23:31:53.9747137Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:29:12.4400582Z}"
,"Use approved version of TLS for Azure Service Bus","All","Custom","Use approved version (1.2) of TLS for Azure Service Bus. For more information please reach out to Cloud Gov Tenant Baseline Controls <cloudgovtbcontrols@microsoft.com>. If an incident is related to the following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-08-23T17:30:34.988048Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:37:15.9124673Z}"
,"Configure Linux virtual machines to run Azure Monitor Agent with user-assigned managed identity-based authentication","Indexed","Custom","Deployment of Azure Monitor Agent extension on Linux virtual machines for collecting telemetry data from the guest OS. This policy installs the extension and configure it to use UAMI if the OS and region are supported. Learn more: https://aka.ms/AMAOverview. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=3.0.0; category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:08:24.9707893Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:09:38.8880177Z}"
,"Configure Windows virtual machines to run Azure Monitor Agent with user-assigned managed identity-based authentication","Indexed","Custom","Deployment of Azure Monitor Agent extension on Windows VMs for collecting telemetry data from the guest OS. This policy installs the extension and configure it to use a UAMI if the OS and region are supported. Learn more: https://aka.ms/AMAOverview. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=1.1.0; category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:08:43.9431207Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:11:02.0518875Z}"
,"[Preview]: Configure supported Linux virtual machines to automatically install the Azure Security agent","Indexed","Custom","Configure supported Linux VMs to install the Azure Security agent. Security Center collects events from the agent and uses them to provide security alerts and tailored hardening tasks. Target virtual machines must be in a supported location. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=7.0.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:08:59.4328165Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:12:04.791684Z}"
,"[Preview]: Configure supported Windows machines to automatically install the Azure Security agent","Indexed","Custom","Configure Windows VMs to automatically install the Azure Security agent. Security Center collects events from the agent and uses them to provide security alerts and tailored hardening tasks. Target virtual machines must be in a supported location. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=5.0.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:09:16.6954713Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:12:25.912742Z}"
,"[Preview]: Configure virtual machines to create the default Microsoft Defender for Cloud pipeline using Azure Monitor Agent","Indexed","Custom","Configure VMs in supported locations to create the default MDC pipeline using AMA. MDC collects events from the agent to provide security alerts and hardening tasks. Create a RG, a Data Collection Rule and Log Analytics workspace to store audit records. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=5.2.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:10:35.7843362Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:26:59.9340132Z}"
,"[Preview]: Configure Association to link virtual machines to default Microsoft Defender for Cloud Data Collection Rule","Indexed","Custom","Configure VMs to automatically create an association with the default data collection rule for MDC. Deleting this association will break the detection of security vulnerabilities for this VM. Target virtual machines must be in a supported location. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=3.0.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:10:48.0358937Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:26:37.7182975Z}"
,"Configure Linux Arc-enabled machines to run Azure Monitor Agent","Indexed","Custom","Deployment of Azure Monitor Agent extension on Linux Arc-enabled machines for collecting telemetry data from the guest OS. This policy installs the extension if the region is supported. Learn more: https://aka.ms/AMAOverview. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=2.2.0; category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:11:01.6331694Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:08:13.168675Z}"
,"Configure Windows Arc-enabled machines to run Azure Monitor Agent","Indexed","Custom","Deployment of Azure Monitor Agent extension on Windows Arc-enabled machines for collecting telemetry data from the guest OS. This policy installs the extension if the OS and region are supported and SAMI is enabled. Learn more: https://aka.ms/AMAOverview. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{version=2.2.0; category=Monitoring; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:11:16.0222632Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:08:32.5497118Z}"
,"[Preview]: Configure supported Linux Arc machines to automatically install the Azure Security agent","Indexed","Custom","Configure supported Linux Arc machines to install the Azure Security agent. Security Center collects events from the agent and uses them to provide security alerts and tailored hardening tasks. Target Linux Arc machines must be in a supported location. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=1.0.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:12:00.1351731Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:08:52.5185093Z}"
,"[Preview]: Configure supported Windows Arc machines to automatically install the Azure Security agent","Indexed","Custom","Configure supported Windows Arc machines to install the Azure Security agent. Security Center collects events from the agent and uses them to provide security alerts and tailored hardening tasks. Target Windows Arc machines must be in a supported location. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=1.0.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:12:13.5783347Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:09:12.8118861Z}"
,"[Preview]: Configure Arc machines to create the default Microsoft Defender for Cloud pipeline using Azure Monitor Agent","Indexed","Custom","Configure Arc VMs in supported location to create the default MDC pipeline using AMA. MDC collects events from the agent and uses them for alerts and hardening tasks. Creates a RG, a Data Collection Rule and Log Analytics workspace to store audit records. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=1.2.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:12:25.8689212Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:26:03.171823Z}"
,"[Preview]: Configure Association to link Arc machines to default Microsoft Defender for Cloud Data Collection Rule","Indexed","Custom","Configure Arc VMs to create an association with the default data collection rule for MDC. Deleting this association will break the detection of security vulnerabilities for this Arc machine. Target Arc machines must be in a supported location. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{category=Security Center; version=2.0.0-preview; preview=True; createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:12:37.148798Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:26:20.1572235Z}"
,"[Preview]: Assign Built-In User-Assigned Managed Identity to Virtual Machines","Indexed","Custom","Create and assign a built-in user-assigned managed identity or assign a pre-created user-assigned managed identity at scale to virtual machines. Learn more: https://aka.ms/managedidentitypolicy. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-09-05T21:14:05.2350041Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-05-13T18:10:34.5947581Z}"
,"Configure Windows Machines to be associated with a Data Collection Rule or a Data Collection Endpoint","Indexed","Custom","Deploy Association to link Windwos VMs, VMSS, ARC machines to DCR or DCE. MDC collects events from the agent to provide security alerts and hardening tasks. Create a RG, a Data Collection Rule and Log Analytics workspace to store audit records. For more information, please reach out to DSR ESP team majaco@microsoft.com and jaspreetkaur@microsoft.com. If an incident is related to following policy, please open an IcM incident via https://portal.microsofticm.com/imp/v3/incidents/create?tmpl=e2042","@{createdBy=fa00c2de-57d5-4527-9254-4d513f482d0a; createdOn=2023-10-10T22:28:22.2019696Z; updatedBy=fa00c2de-57d5-4527-9254-4d513f482d0a; updatedOn=2024-08-21T19:05:33.0330097Z}"
